Id,ImageURL,UnitPrice,Category1,Category2,Category3,Name,Description,ProductSKU,LongDescription
q27000004613224AAA,,,,,,1 pint - 4-H Campfire Delight,The best ice cream in the world,09821980935,
q27000008938030AAA,https://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/1010183BED-0.jpg,199,men,jackets,rainwear,Men's Portland Jacket,,1010183,"<ul><li>Lightweight, media-compatible jacket</li>
<li>Active Fit</li>
<li>Waterproof, breathable, seam-sealed NTO-tech lightweight shell</li>
<li>100% windproof fabric</li>
<li>Adjustable hood</li>
<li>Snap-close stormflap covers front zipper</li>
<li>Secure-zip, polyurethane (PU) chest pocket</li>
<li>Pit-zip ventingfor added breathability</li>
<li>Covered, secure-zip hand pockets</li>
<li>Velcro adjustable cuff tabs</li>
<li>Hem cinch-cord</li></ul>"
q27000008938929AAA,https://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/1010263ADS-0.jpg,650,men,jackets,rainwear,Men's Rainier L5 NTO-tech Pro Jacket,,1010263,"<ul><li>Rainier Series represents the world’s finest alpine equipment and apparel</li>
<li>NTO-tech Pro fabric offers superior durability and enhanced waterproof performance</li>
<li>100% windproof fabric</li>
<li>Attached, fully adjustable hood is helmet compatible and features large embedded cord locks and a laminated wire brim</li>
<li>Two-way, exposed, matte polyurethane (PU), NTeston center front zip</li>
<li>Large, exposed, matte PU, alpine chest pocket zips</li>
<li>Additional internal secure-zip mesh pocket can be accessed through the left alpine chest pocket</li>
<li>Matte PU pit zips for venting</li>
<li>Removable powder skirt</li>
<li>Nonabrasive adjustable velcro cuff tabs</li>
<li>Hem cinch-cord uses large embedded cord locks</li></ul>"
q27000008938935AAA,https://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/1010269APY-0.jpg,425,men,jackets,rainwear,Men's Rainier Integrum NTO-tech Active Jacket,,1010269,"<ul><li>The Rainier Series Ski Mountaineering Collection offers a complete skimo system</li>
<li>Waterproof, breathable, seam-sealed, NTO-tech Active three-layer shell</li>
<li>100% windproof</li>
<li>Attached, fully adjustable, helmet-compatible hood with laminated wire brim</li>
<li>Large embedded cord locks for easy hood and hem adjustment when you're wearing gloves</li>
<li>Exposed, polyurethane (PU) NTeston center front zip</li>
<li>Partially exposed, matte PU chest pocket with internal mesh media pocket</li>
<li>Adjustable Velcro cuff tabs</li></ul>"
q27000008939737AAA,,9.29,,,,Men's Stetler Insulated Rain Jacket,,1010315,
q27000008940695AAA,,,,,,Dyson V15 Detect Cordless Vacuum Cleaner,,1010412,
q27000008940763AAA,,,,,,Apple iPhone 15,,1010438,
q27000008940764AAA,https://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/1010439ACB-0.jpg,299,men,jackets,rainwear,Men's Mountain Jacket NTO-tech,,1010439,"<ul><li>Heavyweight, waterproof NTO-tech 2L jacket</li>
<li>Relaxed fit</li>
<li>Replica of the original version</li>
<li>Iconic color and fabric blocking</li>
<li>High-visibility, abrasion-resistant elbow patches and cuffs</li>
<li>Stowable hood</li>
<li>Original grosgrain and tension-lock system on side hood for goggle attachment</li>
<li>Double center-front stormflap with snap closure covers the NTeston zip</li>
<li>Reverse-entry alpine pockets</li>
<li>Pit-zip venting</li>
<li>Adjustable velcro cuff tabs</li>
<li>Three interior pockets originally designed for an avalanche beacon</li>
<li>Adjustable bottom hem</li>
<li>Zip-in compatible</li>
<li>Embroidered NTO logo on chest and back yoke</li></ul>"
q27000008940764AAA,,,,,,Apple AirPods Pro,,1010439,
q27000008942648AAA,https://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/1010622AVH-0.jpg,450,men,jackets,rainwear,Men's Rainier L5 Waterproof NTO-tech Jacket,,1010622,"<ul><li>Standard fit</li>
<li>Waterproof, breathable, seam-sealed NTO-tech </li>
<li>100% windproof fabric</li>
<li>Engineered yoke and sleeves for durability without additional seams</li>
<li>Two zippered chest pockets</li>
<li>Internal, zippered mesh pocket</li>
<li>Pit-zips</li>
<li>Adjustable velcro cuff tabs</li></ul>"
q27000008943609AAA,https://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/1010722BFB-0.jpg,179,men,jackets,rainwear,Men’s City Breeze Rain Parka,,1010722,"<ul><li>Standard fit</li>
<li>Comfort 2L ripstop shell with taffeta lining</li>
<li>100% windproof fabric</li>
<li>Rain parka with loose sleeves and internal waist adjustors</li>
<li>Adjustable hood</li>
<li>Mesh venting at back</li>
<li>Zippered hand pockets</li>
<li>Internal, zippered chest media pocket</li>
<li>Adjustable velcro cuffs</li>
<li>Adjustable fishtail hem</li></ul>"
q27000008943703AAA,https://www.northerntrailoutfitters.com/on/demandware.static/-/Sites-nto-apparel/default/dw2d923cbc/images/large/1010753AY7-0.jpg,110,men,jackets,rainwear,Men’s Millerton Jacket,,1010753,"<ul><li>Standard fit</li>
<li>Waterproof, breathable, seam-sealed Comfort 2L shell with taffeta lining</li>
<li>100% windproof fabric</li>
<li>Attached hood with adjustable shockcord</li>
<li>Exposed, water-resistant, reverse-coil center front zip with internal draft flap</li>
<li>Covered, secure-zip, bellowed hand pockets with webbing detail</li>
<li>Adjustable velcro cuffs with webbing detail</li>
<li>Hem cinch-cord</li></ul>"
q27000008943703AAA,,,,,,Fitbit Charge 5,,1010753,
q27000008943706AAA,https://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/1010756AZ1-0.jpg,199,men,jackets,rainwear,Men’s Arrowood 3-in-1 Jacket,,1010756,"<ul><li>Standard fit</li>
<li>Works with zip-in-compatible inner jacket or additional layers</li>
<li>Waterproof, breathable, seam-sealed Comfort 2L shell with taffeta lining</li>
<li>100% windproof fabric</li>
<li>Zip-in-compatible integration with complementing garments from Northern Trail Outfitters</li>
<li>Attached, adjustable hood</li>
<li>Exposed, water-resistant, reverse-coil center front zip with internal draft flap</li>
<li>Zippered chest and hand pockets</li>
<li>Adjustable velcro cuffs</li>
<li>Hem cinch-cord</li>
<li>[Inner Jacket] Slim fit</li>
<li>200-weight, smooth-face fleece</li>
<li>Exposed, NTeston center front zip with internal draft flap</li>
<li>Covered, zippered pockets</li></ul>"
